category_id,parent_id,category_name
3761,10252,Quilt Blocks
8821,8360,Linens & Textiles (Pre-1930)
10252,8821,Quilts
4999,10252,Quilt Tops
8821,8360,Linens & Textiles (Pre-1930)
1839,8821,Samplers
8821,8360,Linens & Textiles (Pre-1930)
7589,8821,Tapestries
8821,8360,Linens & Textiles (Pre-1930)
579,8821,Price Guides & Publications
8821,8360,Linens & Textiles (Pre-1930)
7783,8821,Other Antique Textiles
3165,8360,Manuscripts
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
4087,3109,"AK, HI"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
6028,3109,"AL, FL, GA, MS, NC, SC"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
4286,3109,"AR, IA, KS, LA, MO, NE"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
4687,3109,"AZ, CA, CO, NM, NV, UT"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
10259,3109,"CT, MA, ME, NH, RI, VT"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
1723,3109,"DC, DE, MD, NJ, NY, PA"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
5196,3109,"ID, OR, WA"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
3198,3109,"IL, IN, MI, OH, WI"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
9613,3109,"MN, MT, ND, SD, WY"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
5360,3109,"OK, TX"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
11687,3109,"VA, WV, KY, TN"
10656,8360,"Maps, Atlases & Globes"
3109,10656,United States (Pre-1900)
5051,3109,Entire US
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
4087,8407,"AK, HI"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
6028,8407,"AL, FL, GA, MS, NC, SC"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
4286,8407,"AR, IA, KS, LA, MO, NE"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
4687,8407,"AZ, CA, CO, NM, NV, UT"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
10259,8407,"CT, MA, ME, NH, RI, VT"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
1723,8407,"DC, DE, MD, NJ, NY, PA"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
5196,8407,"ID, OR, WA"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
3198,8407,"IL, IN, MI, OH, WI"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
9613,8407,"MN, MT, ND, SD, WY"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
5360,8407,"OK, TX"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
11687,8407,"VA, WV, KY, TN"
10656,8360,"Maps, Atlases & Globes"
8407,10656,United States (1900-Now)
5051,8407,Entire US
10656,8360,"Maps, Atlases & Globes"
5473,10656,United States (Date Unknown)
10656,8360,"Maps, Atlases & Globes"
5928,10656,Africa
9646,5928,Pre-1900
10656,8360,"Maps, Atlases & Globes"
5928,10656,Africa
