category_id,parent_id,category_name
2540,2295,geležinkelio ir traukinių modeliai
4670,2301,panaudotų sauskelnių konteinerių priedai
6062,5955,"        <Name ID=""3115529"" Value="""" langid=""39""/>
"
4167,1265,rūkymo reikmenys
5497,5318,gumos pastos
5402,5401,kvėpavimo sistemos
3899,4918,RFID žymos
5527,4885,grūdų dozatoriai
4126,1987,apsauginiai šalmai kūdikiams
3665,1966,automobilių stogų skersiniai
62,2,antivirusinė programinė įranga
3532,3531,"        <Name ID=""1671058"" Value="""" langid=""39""/>
"
5221,4966,susitraukiančio plastiko lapai
2986,3026,plaukų kaukės
4451,4444,"        <Name ID=""2047642"" Value="""" langid=""39""/>
"
3922,4827,musių muštukai
3544,4881,"        <Name ID=""1672027"" Value="""" langid=""39""/>
"
249,114,duomenų perdavimo paslaugų 
5548,5476,smėlio ir vandens stalų priedai
2757,1163,metalų halogenų lemputės
1814,692,bloknotai ir knygos telefonu gautiems pranešimams užrašyti
826,823,kuprinės
3828,1280,kvapų difuzoriai
2329,453,rašiklių šerdelės
1805,1808,šviestuvų gaubtai
3148,4885,kavinukai
868,692,etiketės brūkšniniams kodams
3050,4896,matavimo indai
5514,1736,pjaustyklių dalys ir priedai
4487,4454,vaikiški kilimai ir kilimėliai
3636,1961,jogos kilimėliai
4601,2024,lauko baldų uždangalai
3634,4786,kepurės ir skrybėlės nuo saulės
65,55,sistemos valdymo programinė įranga
4346,1945,pramoniniai aplinkos parametrų jutikliai ir tikrintuvai
1425,1986,maitinimo buteliukai
3271,6175,batai kūdikiams ir mažyliams
4232,4230,"        <Name ID=""1934210"" Value="""" langid=""39""/>
"
1261,4291,paruoštos sriubos ir troškiniai
1478,438,lipnūs simboliai
21,2,multimedijos programinė įranga
5807,2248,"        <Name ID=""3023705"" Value="""" langid=""39""/>
"
2971,2581,kūno pieneliai
1562,1280,skaitmeniniai kūno termometrai
1582,830,neoniniai laidai
3867,4898,pompos vynui
152,151,knyginių kompiuterių dokai ir jungčių replikatoriai
4259,1370,majonezai
2911,4762,grėbliai
4242,4230,"        <Name ID=""1934879"" Value="""" langid=""39""/>
"
4699,1696,drėkintuvų dalys ir priedai
4461,4455,"        <Name ID=""2049170"" Value="""" langid=""39""/>
"
5173,823,akinių dėklai
1611,587,trikojų priedai
1447,4950,kortelių laikikliai
5781,1962,"        <Name ID=""3019572"" Value="""" langid=""39""/>
"
3518,4457,paplūdimio rankšluosčiai
3966,5821,maišelių gyvūnų išmatoms laikikliai
3269,6175,vyrų batai
1871,220,informaciniai terminalai
1595,1884,kampiniai šlifuokliai
1368,1843,įspėjamieji ženklai
3428,3426,elektriniai keltuvai
5156,4890,"        <Name ID=""2343693"" Value="""" langid=""39""/>
"
5793,5789,"        <Name ID=""3021682"" Value="""" langid=""39""/>
"
4456,2414,valgomojo stalo tekstilė
3646,1990,nusileidimo įtaisai
5846,1280,"        <Name ID=""3029212"" Value="""" langid=""39""/>
"
6034,5819,"        <Name ID=""3113273"" Value="""" langid=""39""/>
"
2474,4885,indai aliejui 
1252,1249,tualeto priedai
6054,4775,"        <Name ID=""3114694"" Value="""" langid=""39""/>
"
4350,1986,žirklutės ir žnyplės kūdikių nagams kirpti
3083,1315,maišytuvai polentai
3719,3694,žiemos sporto įrangos laikiklių priedai
819,2868,saugumo įrenginiai
5782,5812,"        <Name ID=""3020165"" Value="""" langid=""39""/>
"
1304,1058,kompaktinių diskų grotuvai
4584,1065,"        <Name ID=""2087717"" Value="""" langid=""39""/>
"
4507,4474,"        <Name ID=""2064798"" Value="""" langid=""39""/>
"
4678,1315,elektriniai pomidorų presai
889,1305,kalbų šriftai
4853,2498,vaikiški piešimo projektoriai
5344,4958,tapetų nuėmimo priemonės
6005,6002,"        <Name ID=""3110923"" Value="""" langid=""39""/>
"
4927,3940,taurelės
6237,6232,"        <Name ID=""3149744"" Value="""" langid=""39""/>
"
2910,4762,sraigtiniai grąžtai
4998,4810,plytelės
4558,1449,ženkliukų laikiklių priedai
3878,1293,kreivėmačiai
3185,1280,skutimosi peiliukai vyrams
4819,4817,automobilių užpildai
859,558,projektorių priedai
4551,1333,elektrinės masažinės kėdės
1081,1058,garso kolonėlės
2321,2025,sofos
3401,3397,šlapias kačių maistas
1475,1280,kosmetiniai pincetai
4495,2028,reikmenys vonios kambariui ir tualetui
574,571,juostiniai fotoaparatai
3574,2111,"        <Name ID=""1673731"" Value="""" langid=""39""/>
"
4201,4194,"        <Name ID=""1928206"" Value="""" langid=""39""/>
"
2270,1243,šluotų grindims plauti priedai
5079,4915,netikros signalizacijos dėžutės
5397,4765,laistymo purkštuvai
5423,4762,gyvatvorių kirpimo mašinėlės ir žirklės
1086,1058,TV priedėliai
2664,1658,elektrinių patalpų šildytuvų priedai
4764,1748,akumuliatoriniai sodo įrankiai
