category_id,parent_id,category_name
2469,585,camera cages
5303,1577,men
2496,2295,children fancy dresses
6028,5833,pet bowl stands
1168,2332,fluorescent fixtures
4916,4885,serving platters 
3450,3448,car trailer cables
4385,1986,baby food containers
4078,2498,kids
3179,4490,wall mirrors
353,4968,desk sorters
3402,3397,milk for dogs or cats
375,373,laser toner 
6071,6067,reptile 
3361,1315,small kitchen appliance sets
3754,5620,sewing pins
2943,2709,nail polishes
4399,2310,air freshener refills
3378,2556,fuse holders
3570,2111,horse blankets
2045,817,UPS batteries
2065,1681,chimney accessories
4475,4470,car air purifier accessories
2235,2005,ski bags 
3657,2832,kids storage cabinets
1540,194,input device accessories
193,2834,gaming controllers
3677,1987,baby breath monitors
3537,3538,garden fencing 
4653,1732,xylophones
3486,1272,verrines
6026,5974,pet thermometers
1542,2555,electrical relays
4192,4176,cabbages
5801,5833,automatic pet feeders 
5077,3678,baby 
4870,4842,furniture cleaners 
2598,823,case accessories
6129,823,money clips
4230,4219,frozen food
3982,242,wireless routers
6016,5954,aquarium cleaning supplies
5268,2005,winter sport goggles cases
5374,2005,chest 
378,373,ink sticks
2621,893,map updates
2075,1985,playpens
4340,2581,hand balms
3977,2531,toy weapon accessories 
5887,857,remote control extenders
5284,4958,liquid rubber seam tapes 
4535,2026,jewellery armoires
1920,4049,disposable drinking straws
6103,6102,stockings
3015,5819,pet shampoos
4633,4632,grease guns
5567,4805,kids
5599,5152,home brewing starter kits
5927,2560,low
4129,1425,feeding bottle drainers
1938,1746,laundry drying racks 
6010,5954,aquarium nets
5816,5812,dog saddle bags
1802,2332,mirror
1706,5138,stroboscopes 
5804,5789,pet behavior training accessories
4151,1376,sparkling wine
1031,4950,hanging folders
6144,6138,fine jewellery earrings
915,1065,printer cabinets 
4598,2024,garden arbors
6051,6050,pet heating pad accessories
1365,6179,overshoes
3303,1075,hole punch accessories
2806,2262,photo studio reflector accessories
4186,4176,beans
5840,5974,pet bandages
3425,1884,power chainsaw sharpeners
3929,4965,gas griddles
4578,1988,changing table pads 
5158,5152,alcohol making measuring tools
2307,1987,baby video monitors
3981,1966,car dashboard pads
3390,4763,air compressors
415,300,boards
1041,191,wrist rests
3149,2776,face washing 
5543,588,lens flipper holders
5714,242,video conferencing accessories
2168,2112,squash balls
6060,5955,reptile 
3481,1119,fancy dresses
4813,4810,wood flooring
1990,1960,camping
3385,151,USB gadgets
2229,2115,water sport vests
3577,1746,clothespins
4608,2103,baby cushions 
4877,1966,car polishing compounds
3415,1163,Laser Crystal Ceramics 
2476,1747,shower hoses
1094,1243,disinfecting wipes
977,4918,cable locks
1890,1885,cordless screwdrivers
2708,2707,grill baskets
2528,2295,kaleidoscopes
2125,2107,wrestling singlets
5087,3678,baby skirts
3726,3725,conduit carrier accessories
3941,2295,baby cloth books
4752,4750,gate handles
1795,2332,ceiling lighting
3474,2707,camping cookware
2252,2116,wrist protection
4942,4882,pastry blenders
5127,5123,kick scooter forks
5584,3448,trailer adapters
4377,4913,toothbrushes
2262,585,photo studio reflectors
2092,1986,bottle nipples
1470,4881,frying pans
1897,1058,portable DVD
5088,5139,snow machines
2384,2383,access chambers accessories
2351,2558,electrical timers
2276,1058,audio switches
1837,373,thermal ribbon
4300,4296,dried meat
3575,4455,duvet covers
3233,3027,hair detanglers
1211,1065,computer furniture parts
5299,1966,car wash brushes
2472,585,camera brackets
428,424,appointment books
2349,2559,electrical box accessories
1859,1357,manual screwdrivers 
4001,2112,table tennis racket cases
5102,1539,PBX system accessories
5806,5812,dog safety scarves
1063,355,correction ribbons
4352,2831,inflatable furniture
1415,1743,food warmers
2753,2752,PIN pad accessories
1361,6110,work clothing
3310,415,insert notice boards
3287,2025,living room sideboards 
2340,1746,ironing presses
2652,1058,video distributors
897,150,tablets
3003,2710,eyebrow paints
5443,4764,bar 
5259,5223,central heating towel rail accessories
58,55,security management software
355,4971,typewriters
4999,4968,envelope holders
2834,2836,video games 
1995,1961,bicycle trainers
6064,5955,reptile heat mats
3168,4616,clamps
2268,5819,pet hair clippers
1696,1744,humidifiers
5498,4273,cooking sprays
5110,1987,baby foot protectors
4363,1962,bicycle tube
1186,2035,money counting machines
2149,2111,horse riding saddles
4588,2707,sporks
3930,4880,kitchen multi dispensers
2314,2510,car subwoofers
3458,4896,cheese slicers
300,1,office
3095,1255,cup 
4084,2107,boxing gloves
2594,1280,massage oils
3822,4786,earmuffs
4031,3241,camera drone parts
2435,2386,cable tray accessories
6098,1577,men
5283,4958,liquid rubbers
3041,3038,electric citrus press accessories
1340,1058,cassette players
4935,2722,QA_subcategory
5217,1119,photo booth props
4493,2028,home storage 
3389,1886,paint sprayers
2573,2555,capacitor banks
3580,3576,arms 
1779,5139,smoke machines
1376,4150,alcohol drinks
5293,4620,tool belt accessories
1036,4971,thermal binding machines
2520,2295,push 
3669,1966,car baskets
1208,1119,toy balloons
2630,4618,riveters
4765,1748,garden watering 
5894,5974,pet ear
2199,2115,scuba diving fins
4499,4495,bath accessory sets
1247,1243,cleaning brushes
371,372,fuser wipers
2889,1065,waiting chairs
5930,4917,video recorder security enclosures
5197,4762,loose fruit pickers
2723,1744,portable air conditioners
5210,2,reference management software
6158,6140,rings
2444,2,infrastructure virtualization solutions
6006,6004,aquarium filter accessories
148,242,line conditioners
4760,1856,collated nails
27,2,presentation software
360,4971,laminators
4308,4295,jams
3563,2111,equestrian helmets
4483,2266,pasta 
419,415,letter boards
182,2844,networking cards
1768,166,serial converters
4692,4072,didgeridoos
2294,1981,pram
5107,4913,dental flosses 
1550,2840,media duplicators
3547,6178,basketball shoes
1614,830,cable splitters or combiners
4432,2498,marker airbrushes
5871,2690,manual food chopper accessories
5054,5019,sport nutritions
3477,1119,confetti
3761,2111,spurs
5208,4622,craft cutting machine parts 
3283,2024,outdoor benches
5690,1458,modeling tools
4504,4501,sun clocks
3638,2115,surfboard racks
1233,1065,janitor carts
5971,5953,dog houses
3188,1981,baby car sun shades
5065,3678,baby raincoats
4030,2295,ball pit balls
3326,2025,living room storage cabinets
